ID_MOEDA;DATA_REF;vlr_cotacao
KES;2010-03-22;2,421844125
MRU;2010-03-02;7,082959652
CLP;2010-05-10;1,210058212
DZD;2010-05-31;2,142701387
SLL;2010-09-13;1,880607188
PGK;2010-01-04;7,384095132
DJF;2010-09-27;1,829150319
MGB;2010-05-07;3,405960023
ZAR;2010-01-11;3,405784369
XDR;2010-05-12;1,964936137
MMK;2010-05-31;7,106191993
OMR;2010-07-13;6,618531048
ZAR;2010-01-15;5,675744534
DZD;2010-05-17;4,797440886
COP;2010-04-16;1,000425994
NIO;2010-05-14;2,833437741
BOB;2010-05-17;5,214767277
SZL;2010-09-06;4,99696523
SLL;2010-11-03;4,927036643
SBD;2010-03-26;3,049108148
LSL;2010-05-14;2,582738996
PGK;2010-10-11;6,943300664
PGK;2010-08-03;3,211187959
MRU;2010-04-14;7,449109972
PHP;2010-11-10;2,734185219
SAR;2010-02-04;7,360613286
SAR;2010-10-29;1,26187098
XPF;2010-07-07;6,37784338
JPY;2010-03-25;2,390364766
DJF;2010-07-19;5,318224669
IRR;2010-09-07;1,613417745
BOB;2010-11-23;6,038194001
CAD;2010-06-11;2,557069182
TRY;2010-04-09;6,423151076
LBP;2010-06-18;4,039837599
HTG;2010-05-12;1,779762506
CLP;2010-11-25;6,318540037
THB;2010-02-08;5,564653039
BOB;2010-03-17;4,436916947
DJF;2010-10-20;4,782233179
ALL;2010-03-17;1,106822371
SOS;2010-09-22;7,218907773
IRR;2010-02-10;6,326057732
SAR;2010-09-03;6,816320539
XDR;2010-02-04;7,259979308
CZK;2010-01-20;5,284168065
NIO;2010-08-30;4,620673239
SOS;2010-07-28;2,222581804
DJF;2010-06-04;4,540457785
GEL;2010-04-16;2,920746565
CAD;2010-06-21;7,217288494
CZK;2010-10-22;2,008203149
PGK;2010-07-19;3,59922713
VUV;2010-05-06;7,68448627
EGP;2010-11-18;3,303975463
LBP;2010-06-11;2,330611646
MMK;2010-11-18;7,920852244
SSP;2010-04-20;5,408744514
SGD;2010-08-18;5,81379509
AWG;2010-10-22;3,89004612
TTD;2010-08-06;5,788777411
MZN;2010-04-22;6,405660272
RON;2010-08-17;7,949614167
MXN;2010-03-09;1,046351612
JPY;2010-08-13;2,702601135
VUV;2010-02-10;4,767689288
VUV;2010-02-26;1,665787518
TTD;2010-01-11;4,862318039
ALL;2010-11-25;7,29351896
CAD;2010-03-29;1,564503908
CUP;2010-06-09;5,426113069
MRU;2010-09-20;7,155704975
MGB;2010-06-01;3,812931538
KES;2010-11-15;4,259917736
CUP;2010-08-13;6,618599057
SOS;2010-04-27;3,562057555
TTD;2010-11-09;4,420341969
XDR;2010-01-04;7,139849305
ZWL;2010-05-17;4,704822361
VUV;2010-04-14;2,169480205
GEL;2010-01-07;3,467412531
KES;2010-10-25;1,51948911
XOF;2010-06-04;4,279239774
VES;2010-07-09;2,864835322
NIO;2010-09-30;4,677859545
EGP;2010-06-08;2,922406733
AWG;2010-07-01;3,865900457
GIP;2010-07-05;3,644376695
UGX;2010-08-30;1,421798706
EUR;2010-06-29;7,928246439
TRY;2010-06-28;6,294346392
SBD;2010-10-06;4,601340771
VES;2010-05-03;3,855057001
MRO;2010-01-11;4,834177792
MMK;2010-10-20;6,771891117
SOS;2010-05-13;5,924579918
KES;2010-08-31;1,217766166
GIP;2010-01-04;2,098312438
WST;2010-09-02;1,822943568
EUR;2010-07-19;6,69634825
WST;2010-11-19;2,135177016
TRY;2010-05-14;1,964410424
KMF;2010-11-23;2,859392941
CZK;2010-10-18;7,781965137
SSP;2010-02-16;5,55349791
NIO;2010-10-29;3,553651154
ALL;2010-05-07;5,735532701
KMF;2010-08-23;7,406892717
AFN;2010-02-08;2,396912813
CAD;2010-09-15;1,079133153
JPY;2010-06-23;7,531870961
CVE;2010-07-30;5,609388292
SSP;2010-09-27;5,140975535
DZD;2010-04-29;3,473280072
COP;2010-11-25;3,266634822
SOS;2010-07-12;6,832221687
UGX;2010-02-23;5,279611468
ZWL;2010-09-27;2,964167118
OMR;2010-07-14;7,729540706
PEN;2010-01-01;6,931035697
SOS;2010-05-24;4,184114933
EGP;2010-01-18;4,270024776
BYN;2010-04-06;2,209664285
MMK;2010-03-19;4,168617666
XAU;2010-11-11;6,830551505
ARS;2010-10-07;4,96443069
DJF;2010-03-04;6,495227993
IRR;2010-11-23;6,38081032
MGA;2010-04-07;1,884739041
ZAR;2010-11-04;6,982070744
CAD;2010-07-07;1,074936628
COP;2010-02-08;1,701866031
PGK;2010-07-27;5,984978497
MRU;2010-03-10;7,651743531
AWG;2010-08-27;3,712642193
MGB;2010-08-27;3,54556936
MRO;2010-10-20;5,016128719
PGK;2010-05-17;5,278234601
CAD;2010-07-05;2,814171195
UYU;2010-03-01;4,725180387
MUR;2010-07-26;7,455206573
SAR;2010-08-04;2,478017807
MUR;2010-06-23;4,705874205
CVE;2010-03-16;3,957220137
SZL;2010-05-06;4,900994658
SSP;2010-07-28;2,354073882
WST;2010-04-27;3,863793015
MMK;2010-03-31;1,568441331
XDR;2010-05-11;6,302435696
AFN;2010-01-22;3,462006867
OMR;2010-11-01;3,328808308
SOS;2010-05-05;6,162039459
SLL;2010-02-03;1,307704389
KES;2010-06-02;2,191433311
CVE;2010-03-24;2,723843277
SAR;2010-06-28;3,432628691
CZK;2010-06-17;2,988158405
MZN;2010-09-24;6,217208445
ILS;2010-01-06;4,615362704
ILS;2010-02-09;4,359065115
THB;2010-10-28;6,918634295
XDR;2010-05-27;2,948058188
VUV;2010-11-17;4,522760451
OMR;2010-09-14;2,609001279
MGB;2010-04-28;4,830701828
THB;2010-03-08;2,068786979
CAD;2010-03-30;2,55513531
VES;2010-04-05;2,655688763
SGD;2010-10-05;1,907227874
SBD;2010-08-20;6,139881074
EUR;2010-08-12;5,973555505
XAF;2010-08-13;4,123780191
